<Start Ep> 
Squidward: Hey, SpongeBob.
SpongeBob: Hey, Squidward.
Squidward: Uhh...
SpongeBob: What are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh, what are you doing here?
Squidward: I'm just... just... working on it.
SpongeBob: Uhh
