<Start Ep> 
Mr. Krabs: [Off-screen] [to Operator] Your turn, here. [to SpongeBob] SpongeBob is my best friend.
SpongeBob: [Crying] Oh, sorry.
Mr. Krabs: [Off-screen] [to SpongeBob] What are you crying about?
SpongeBob: [Crying] Oh, Mr. Krabs.
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, these are my best friends. [to SpongeBob]
SpongeBob: [Crying] Oh, Mr. Krabs.
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob! [to SpongeBob]
SpongeBob: [Crying] Oh, Mr. Krabs.
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob! [to SpongeBob]
SpongeBob: [Crying] Oh, Mr. Krabs.
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob!
SpongeBob: [Crying] Oh, Mr. Krabs.
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob! [to SpongeBob]
SpongeBob: [Crying] Oh, Mr. Krabs.
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob! [to SpongeBob]
SpongeBob: [Crying] Oh, Mr. Krabs!
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob! [to SpongeBob]
SpongeBob: [Crying] Oh, Mr. Krabs!
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob! [to SpongeBob]
SpongeBob: [Crying] Oh, Mr. Krabs! [to SpongeBob]
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob! [to SpongeBob]
SpongeBob: [Crying] Oh, Mr. Krabs!
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob! [to SpongeBob]
SpongeBob: [Crying] Oh, Mr. Krabs!
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob! [to SpongeBob]
SpongeBob: [Crying] Oh, Mr. Krabs! [to SpongeBob]
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob! [to SpongeBob]
SpongeBob: [Crying] Oh, Mr. Krabs! [to SpongeBob]
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob!
SpongeBob: [Crying] Oh, Mr. Krabs! [to SpongeBob]
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob! [to SpongeBob]
SpongeBob: [Crying] Oh, Mr. Krabs! [to SpongeBob]
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob! [to SpongeBob]
SpongeBob: [Crying] Oh, Mr. Krabs! [to SpongeBob]
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob! [to SpongeBob]
SpongeBob: [Crying] Oh, Mr. Krabs! [to SpongeBob]
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob! [to SpongeBob]
SpongeBob: [Crying] Oh, Mr. Krabs.
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob! [to SpongeBob]
SpongeBob: [Crying] Oh, Mr. Krabs!
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob! [to SpongeBob]
SpongeBob: [Crying] Oh, Mr. Krabs!
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob! [to SpongeBob]
SpongeBob: [Crying] Oh, Mr. Krabs.
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob! [to SpongeBob]
SpongeBob: [Crying] Oh, Mr. Krabs! [to SpongeBob]
Mr. Krabs: [Off-screen] [to SpongeBob] Oh, SpongeBob
