<Start Ep> [Start Ep opener]
SpongeBob: [Cuts to SpongeBob's house] Hmm, what's that smell? [SpongeBob examines his old sock] It usually comes out of his sock when he eats or drinks, and I don't smell it either. [SpongeBob cleans his sock] So this is where you guys live?
Patrick: What? [SpongeBob's house smell is gone]
SpongeBob: I'm not smelling it, Patrick.
Patrick: No, that's my sock.
SpongeBob: [laughs] I am not smelling it! [Patrick's house smells like a barn]
Patrick: No way. [SpongeBob's house smells like a barn]
SpongeBob: [screams] Patrick, you're gonna get your fill of this! [Patrick's house smells like a barn]
Patrick: No! I'm not seeing that smell! [SpongeBob's house smells like a barn]
SpongeBob: Patrick, you're the one with the smell! [Patrick's house smells like a barn]
Patrick: [screams] I'm the one with the smell! [SpongeBob's house smells like a barn]
SpongeBob: Patrick, I'm the one with the smell! [Patrick's house smells like a barn]
Patrick: [screams] I'm the one with the smell! [SpongeBob's house smells like a barn]
Patrick: [screams] I'm the one with the smell! [SpongeBob's house smells like a barn]
SpongeBob: [screams] I'm the one with the smell! [Patrick's house smells like a barn]
Patrick: [screams] I'm the one with the smell! [SpongeBob's house smells like a barn]
SpongeBob: [screams] I'm the one with the smell! [Patrick's house smells like a barn]
Patrick: [screams] I'm the one with the smell! [SpongeBob's house smells like a barn]
SpongeBob: [screams] I'm the one with the smell! [Patrick's house smells like a barn]
Patrick: [screams] I'm the one with the smell! [SpongeBob's house smells like a barn]
Patrick: [screams] I'm the one with the smell! [SpongeBob's house smells like a barn]
SpongeBob: Patrick, are you seeing the end of that? [Patrick's house smells like a barn]
Patrick: [screams] I'm the one with the smell! [SpongeBob's house smells like a barn]
SpongeBob: [screams] I'm the one with the smell! [Patrick's house smells like a barn]
Patrick: [screams] I'm the one with the smell! [SpongeBob's house smells like a barn]
SpongeBob: [screams] I'm the one with the smell! [Patrick's house smells like a barn]
Patrick: [screams] I'm the one with the smell! [SpongeBob's house smells like a barn]
SpongeBob: [screams] I'm the one with the smell! [Patrick's house smells like a barn]
Patrick: [screams] I'm the one with the smell! [SpongeBob's house smells like a barn]
SpongeBob: [screams] I'm the one with the smell! [Patrick's house smells like a barn]
Patrick: [screams] I'm the one with the smell! [SpongeBob's house smells like a barn]
SpongeBob: [screams] I'm the one with the smell! [Patrick's house smells like a barn]
Patrick: [screams] I'm the one with the smell! [SpongeBob's house smells like a barn]
SpongeBob: [screams] I'm the one with the smell! [Patrick's house smells like a barn]
Patrick: [screams] I'm the one with the smell! [SpongeBob's house smells like a barn]
SpongeBob: [screams] I'm the one with the smell! [Patrick's house smells like a barn]
Patrick: [screams] I'm the one with the smell! [SpongeBob's house smells like a barn]
SpongeBob: [screams] I'm the one with the smell! [Patrick's house smells like a barn]
Patrick: [screams] I'm the one with the smell! [SpongeBob's house smells like a barn]
SpongeBob: [screams] I'm the one with
