<Start Ep>
SpongeBob:  That's right, Patrick. We're gonna shoot a special morning shot of Patrick.
Patrick: Huh?
SpongeBob:  [Harold bursts in his room and walks out]
Patrick: Hey, SpongeBob. You're trying to sneak up on me. You know what you need to do.
SpongeBob: [sadly] Okay, Patrick, I guess that'll work.
Patrick: [gives him a big thumbs up] I guess that'll work.
SpongeBob: [laughs] It's working! I've got a shot of the yellow stuff all under control! [Patrick jumps off the bed and hits his head on the pole]
Patrick: [screams]
SpongeBob: [screams] Patrick!
Patrick: [screams]
SpongeBob: [screams] Patrick!
Patrick: [screams]
SpongeBob: [screams]
Patrick: [screams]
SpongeBob: [screams]
Patrick: [screams]
SpongeBob: [screams]
Patrick: [screams]
SpongeBob: [screams]
Patrick: [screams]
SpongeBob: [screams]
Patrick: [screams]
SpongeBob: [screams]
Patrick: [screams]
SpongeBob: [screams]
Patrick: [screams]
SpongeBob: [screams]
Patrick: [screams]
SpongeBob: [screams]
Patrick: [screams]
SpongeBob: [screams]
Patrick: [screams]
SpongeBob: [screams]
Patrick: [screams]
SpongeBob: [screams]
Patrick: [screams]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
SpongeBob: [scream]
Patrick: [scream]
