<Start Ep> 
SpongeBob: [walks up to Patrick] Hi, Patrick.
Patrick: Wow, SpongeBob!
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [SpongeBob walks up to Patrick] Patrick, you're really sharp.
Patrick: I'm, what?
SpongeBob: [Sponge
