<Start Ep> 
[SpongeBob is shown reading a book at the Krusty Krab, Squidward is seen sitting on a bench reading from a book and SpongeBob is in his room. He begins to notice Squidward walking down the hall, SpongeBob is listening to music on his phone while Squidward is in his room]
Squidward: Hey, SpongeBob, what's going on? [laughs] I don't know what's going on, SpongeBob.
SpongeBob: [notices Squidward in his room] Huh?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your mother in the hospital?
Squidward: Why is your sister in the hospital?
SpongeBob: Why is your mother in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your mother in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your mother in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your mother in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your sister in the hospital?
SpongeBob: Why is your father in the hospital?
Squidward: Why is your sister in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your father in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your sister in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your sister in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your sister in the hospital?
SpongeBob: Why is your sister in the hospital?
Squidward: Why is your sister in the hospital?
SpongeBob: Why is your sister
