,Episode,Rating
0,Help Wanted,1
1,Reef Blower,1
2,Tea at the Treedome,1
3,BubbleStand,1
4,Ripped Pants,1
5,Jellyfishing,1
6,Plankton!,1
7,Naughty Nautical Neighbors,1
8,Boating School,1
9,Pizza Delivery,1
10,Home Sweet Pineapple,1
11,Mermaidman and Barnacleboy,1
12,Pickles,1
13,Hall Monitor,1
14,Jellyfish Jam,1
15,Sandy's Rocket,1
16,Squeaky Boots,1
17,Nature Pants,1
18,Opposite Day,1
19,Culture Shock,1
20,F.U.N.,1
21,MuscleBob BuffPants,1
22,Squidward the Unfriendly Ghost,1
23,The Chaperone,1
24,Employee of the Month,1
25,Scaredy Pants,1
26,I Was a Teenage Gary,1
27,SB-129,1
28,Karate Choppers,1
29,Sleepy Time,1
30,Suds,1
31,Valentine's Day,1
32,The Paper,1
33,Arrgh!,1
34,Rock Bottom,1
35,Texas,1
36,Walking Small,1
37,Fools in April,1
38,Neptune's Spatula,1
39,Hooky,1
40,Mermaidman and Barnacleboy II,1
41,Something Smells,1
42,Bossy Boots,1
43,Your Shoe's Untied,1
44,Squid's Day Off,1
45,Big Pink Loser,1
46,Bubble Buddy,1
47,Dying for Pie,1
48,Imitation Krabs,1
49,Wormy,1
50,Patty Hype,1
51,Grandma's Kisses,1
52,Squidville,1
53,PreHibernation Week,1
54,Life of Crime,1
55,Christmas Who?,1
56,Survival of the Idiots,1
57,Dumped,1
58,No Free Rides,1
59,I'm Your Biggest Fanatic,1
60,Mermaidman and Barnacleboy III,1
61,Squirrel Jokes,1
62,Pressure,1
63,The Smoking Peanut,1
64,Shanghaied,1
65,Gary Takes a Bath,1
66,Welcome to the Chum Bucket,1
67,Frankendoodle,1
68,The Secret Box,1
69,Band Geeks,1
70,Graveyard Shift,1
71,Krusty Love,1
72,Procrastination,1
73,I'm with Stupid,1
74,Sailor Mouth,1
75,Artist Unknown,1
76,Jellyfish Hunter,1
77,The Fry Cook Games,1
78,Squid on Strike,1
79,"Sandy, SpongeBob, and the Worm",1
80,The Algae's Always Greener,1
81,SpongeGuard on Duty,1
82,Club SpongeBob,1
83,My Pretty Seahorse,1
84,Just One Bite,1
85,The Bully,1
86,Nasty Patty,1
87,Idiot Box,1
88,Mermaidman and Barnacleboy IV,1
89,Doing Time,1
90,Snowball Effect,1
91,One Krab's Trash,1
92,As Seen on TV,1
93,Can You Spare a Dime?,1
94,No Weenies Allowed,1
95,Squilliam Returns,1
96,Krab Borg,1
97,Rock-a-Bye Bivalve,1
98,Wet Painters,1
99,Krusty Krab Training Video,1
100,SpongeBob's House Party (Party Pooper Pants),1
101,Chocolate with Nuts,1
